Source	Target
1	501
1	747
1	808
501	228
501	434
501	560
747	15
747	840
747	986
747	546
747	892
747	538
747	108
747	877
808	715
808	867
808	51
808	308
808	870
808	764
808	627
808	440
0	709
709	874
709	804
709	966
2	48
2	165
2	392
2	393
2	473
2	558
48	55
165	65
165	864
165	677
165	261
392	197
392	784
392	761
392	800
393	494
393	923
393	843
473	762
473	123
473	301
473	305
473	458
558	620
558	949
558	229
558	411
558	128
558	736
558	758
558	929
3	13
3	146
3	158
3	865
3	919
13	207
13	634
13	984
146	225
146	719
146	641
146	145
146	283
146	320
146	480
146	749
158	723
158	344
158	986
158	617
158	360
158	353
865	984
865	485
865	841
865	672
865	463
865	278
919	730
919	780
919	403
919	474
919	400
919	771
919	767
4	513
4	651
4	752
4	792
4	963
513	350
513	544
513	565
513	337
651	411
651	381
651	224
752	723
752	853
752	449
752	710
752	638
752	596
752	995
792	891
792	717
792	728
963	9
963	179
963	60
963	546
963	955
963	70
963	608
963	160
963	830
963	203
963	686
5	235
5	723
5	851
235	15
235	452
235	344
235	789
235	573
723	202
723	30
723	296
723	526
851	722
851	62
851	975
851	638
6	260
6	272
6	357
6	415
260	860
260	637
260	79
260	152
260	941
260	432
260	338
272	395
357	938
357	496
357	749
357	261
357	208
357	198
357	571
357	223
357	510
415	72
415	17
415	190
415	202
415	751
415	930
415	376
7	168
7	626
7	648
7	713
7	987
168	891
168	312
168	591
168	736
626	829
626	132
626	993
626	922
648	660
648	576
648	578
648	200
648	526
648	330
648	621
713	32
713	997
713	49
713	78
713	811
713	396
713	616
987	27
987	289
987	306
987	663
8	32
8	341
8	768
8	782
32	136
32	827
341	872
341	666
341	649
341	876
768	652
768	617
768	102
768	374
768	216
782	304
782	470
9	16
9	182
9	225
9	778
16	322
16	623
16	879
16	880
182	811
182	274
182	869
225	938
225	31
225	405
778	928
778	541
778	232
778	492
778	952
778	385
778	712
778	365
778	773
10	227
10	944
10	956
227	568
227	183
227	239
227	313
227	203
227	795
227	954
944	556
944	26
944	497
944	385
944	280
944	336
944	989
956	70
956	115
956	301
11	275
11	291
11	837
11	860
275	186
275	223
275	458
291	671
291	770
291	290
291	385
291	565
291	732
837	999
837	66
837	483
837	897
837	848
860	45
860	724
12	72
12	89
12	144
12	309
12	453
12	687
12	866
12	943
72	866
72	237
72	215
72	361
72	416
72	478
72	545
72	670
72	741
72	934
89	383
89	218
89	231
89	232
89	700
144	142
144	197
144	770
144	206
144	647
309	43
309	681
453	527
453	656
453	252
687	322
687	523
687	690
687	364
687	337
866	835
866	885
866	697
866	177
866	474
866	277
943	250
943	811
943	467
943	644
207	553
207	619
207	934
207	287
634	550
634	324
634	843
984	356
984	839
984	39
984	276
984	196
984	960
984	261
984	205
984	570
14	35
14	343
14	997
14	999
35	199
35	632
35	726
35	927
343	43
343	475
343	324
343	757
343	567
997	694
997	62
997	67
997	154
997	932
997	106
999	173
999	591
15	167
15	322
15	356
167	556
167	172
167	766
322	388
322	809
322	421
322	604
356	20
356	21
356	204
356	41
356	85
356	615
623	658
623	950
623	68
623	664
623	797
623	811
879	425
879	229
879	214
879	475
879	170
879	710
879	616
879	969
879	446
879	661
880	529
880	57
880	323
880	316
880	799
880	816
880	873
17	83
17	485
17	529
17	606
17	620
17	660
17	785
83	174
83	561
83	63
83	509
485	427
485	947
485	211
529	77
529	542
529	85
529	849
529	857
606	62
606	109
606	264
606	848
620	413
620	604
620	627
660	334
660	335
660	90
660	118
660	857
660	461
660	638
660	440
785	20
785	462
785	541
785	52
785	243
785	915
785	469
785	862
785	438
18	140
18	334
18	452
18	535
18	564
140	64
140	784
140	897
140	990
334	979
334	79
334	75
334	403
452	257
452	292
452	101
452	633
452	432
535	29
535	636
535	425
535	224
564	47
564	787
19	73
19	136
19	791
73	253
73	267
73	635
73	689
73	838
136	37
136	590
136	828
136	99
791	364
791	703
20	66
20	349
20	512
20	518
66	497
66	60
66	150
66	155
66	885
349	315
349	71
349	635
349	981
349	496
349	897
349	795
349	299
349	621
512	467
512	311
512	776
512	597
518	263
518	417
518	487
518	910
518	862
518	418
21	69
21	241
21	380
21	715
21	733
21	794
21	867
21	891
21	928
21	961
69	363
69	524
69	650
69	962
241	737
241	379
241	270
241	376
241	442
380	441
380	135
380	991
380	644
380	970
715	912
715	53
715	605
715	102
715	339
715	667
733	986
733	886
794	382
794	543
794	783
867	840
867	497
867	561
891	763
891	379
891	100
928	183
928	74
928	138
928	270
928	646
961	31
961	737
961	206
961	499
961	889
22	57
22	228
22	312
22	556
22	609
22	625
22	734
22	788
22	936
57	377
57	388
57	863
57	874
228	244
228	384
228	435
228	676
228	843
312	781
312	29
312	399
312	849
312	206
312	329
312	351
312	368
312	850
556	39
556	550
556	544
556	746
609	637
609	902
609	586
625	827
625	321
625	230
625	361
625	853
625	744
625	680
625	515
625	365
625	988
734	800
734	926
788	388
788	830
788	432
788	917
788	281
788	703
936	52
936	351
23	137
23	781
23	965
137	846
137	907
137	252
781	130
781	156
781	201
781	613
965	619
965	807
965	489
965	85
965	952
965	510
965	904
24	462
462	237
462	132
462	432
462	330
25	344
25	451
25	682
25	898
344	824
344	920
344	424
344	419
451	717
451	335
451	411
451	786
451	945
898	599
898	835
898	91
898	387
898	613
898	793
898	499
898	661
26	190
26	527
26	622
26	671
190	658
190	432
527	77
527	171
527	532
527	404
527	509
527	515
527	471
527	773
622	114
622	477
622	816
671	548
671	237
671	704
671	111
27	77
27	333
27	454
27	459
27	890
27	938
77	246
77	383
333	603
333	971
333	954
333	395
454	637
454	111
454	206
459	531
890	186
890	143
890	745
938	762
938	693
938	657
938	161
938	595
28	202
28	466
28	694
202	590
202	637
202	166
202	99
202	887
202	571
202	688
202	856
466	542
466	697
466	133
466	397
466	621
466	514
694	722
694	443
30	94
30	98
30	192
30	530
94	530
94	112
94	233
94	243
94	271
94	317
94	538
94	593
94	787
94	985
98	492
98	589
192	295
192	384
192	166
192	97
192	208
192	259
192	669
192	923
530	632
530	718
530	181
530	124
530	935
530	616
530	708
530	834
31	199
31	553
31	603
31	840
31	925
199	172
199	855
553	894
553	70
553	404
553	877
603	717
603	763
603	492
603	374
603	695
840	722
840	483
925	271
925	169
925	198
925	906
827	761
827	673
827	389
33	327
33	355
33	541
33	629
33	731
33	762
33	979
327	761
327	522
327	695
327	814
327	935
327	340
327	474
327	750
327	924
355	142
355	247
355	546
355	197
355	383
355	809
541	552
541	246
541	870
541	830
541	616
541	255
541	266
629	718
629	775
629	307
629	989
731	949
731	256
731	855
731	679
762	756
762	145
762	226
762	370
762	429
979	68
979	892
979	475
979	103
979	290
979	595
979	510
979	970
979	354
34	142
34	193
34	204
34	371
34	375
34	658
34	738
142	619
142	53
142	690
142	218
142	826
142	176
142	695
142	814
193	753
193	477
193	503
371	56
371	697
371	811
371	314
371	996
371	505
371	904
375	244
375	65
375	672
375	163
375	296
375	937
658	894
658	166
658	813
738	962
738	692
738	367
738	457
632	763
632	125
726	101
726	575
927	41
36	162
162	180
162	133
162	780
162	900
162	935
37	119
37	250
37	254
37	636
37	722
37	846
119	164
119	389
119	516
119	714
119	826
119	980
250	298
254	578
254	770
254	109
254	203
636	483
636	187
636	980
722	361
722	688
722	418
846	680
846	320
846	367
846	328
846	398
846	812
38	433
38	737
38	824
38	839
433	105
433	903
433	188
433	882
737	55
737	828
737	560
737	557
737	421
824	212
824	765
824	288
824	910
839	186
839	720
839	417
39	129
39	180
39	894
129	109
129	135
129	588
129	757
180	335
180	151
180	108
180	825
894	460
894	112
894	674
40	455
455	542
455	76
455	672
455	301
455	679
41	173
41	362
41	685
41	717
41	818
41	913
173	145
173	287
173	996
362	831
362	578
362	593
685	576
685	704
685	881
717	108
717	826
717	703
818	735
818	474
818	799
818	429
818	815
913	187
913	259
42	321
42	425
42	520
42	542
42	590
42	702
42	967
321	358
321	582
321	669
425	640
425	903
425	801
425	630
520	151
520	932
520	729
542	619
542	183
590	174
590	673
590	725
590	825
590	248
590	953
702	59
702	561
702	758
702	354
967	803
967	976
967	668
967	498
43	131
43	212
43	552
43	986
131	810
212	348
212	508
212	109
212	708
552	735
986	211
986	236
44	279
44	315
44	619
279	460
279	130
279	646
315	181
315	725
315	780
619	650
619	346
619	581
619	995
45	179
45	247
45	348
45	523
45	618
45	711
179	582
179	930
179	467
179	345
247	188
247	659
348	377
348	91
348	106
348	163
348	970
523	998
523	491
618	614
618	394
618	400
711	497
46	548
46	610
548	546
548	443
548	491
548	799
610	61
610	664
610	479
610	480
610	683
610	945
47	441
47	490
47	550
47	831
441	118
441	976
441	222
441	351
441	661
490	568
490	284
550	916
550	522
550	367
831	842
831	286
831	320
55	753
55	819
49	230
49	323
49	335
230	656
230	237
230	842
230	935
323	568
323	508
335	448
335	397
335	732
335	612
50	171
50	257
50	483
50	599
50	728
50	905
171	251
171	467
171	216
171	790
257	347
257	359
257	484
483	700
599	914
599	99
599	895
599	594
599	921
728	116
728	304
728	563
905	183
51	187
187	381
187	624
52	434
52	912
434	383
434	320
434	533
912	871
912	874
912	404
912	258
912	516
912	948
912	581
53	382
53	719
53	763
53	949
382	907
382	784
382	870
382	641
382	277
382	409
382	482
719	174
763	701
763	431
763	960
763	754
949	572
949	964
949	901
949	886
949	278
54	148
54	652
54	693
54	765
148	114
148	206
148	385
652	598
652	945
652	959
693	525
693	872
765	787
765	104
765	673
765	813
765	484
753	398
819	215
819	756
819	479
819	676
56	295
56	497
56	802
56	871
295	67
295	91
295	271
295	258
295	428
295	948
497	196
497	740
497	273
497	378
497	958
802	360
802	216
802	354
871	673
377	591
388	111
388	345
863	479
863	340
863	397
874	787
874	888
874	896
58	186
58	289
58	423
58	568
58	678
58	807
186	412
186	379
186	935
186	691
186	759
289	437
423	102
423	216
423	461
423	585
423	510
568	103
568	389
568	751
568	855
568	644
678	59
678	70
678	525
678	164
678	121
678	935
678	313
678	845
678	514
807	206
807	611
807	410
59	174
59	178
59	229
59	536
59	576
174	386
174	699
178	149
178	699
178	303
178	313
178	740
178	926
229	216
229	624
536	383
536	932
536	135
536	139
536	467
536	278
536	581
576	237
576	589
576	480
576	805
60	234
60	486
60	739
234	75
234	813
486	828
486	474
61	244
61	297
61	427
61	546
61	561
61	701
61	968
244	680
244	432
297	841
297	195
297	990
297	917
427	166
427	922
427	758
427	450
546	337
546	931
561	637
561	436
561	554
701	509
701	117
701	947
701	883
968	868
968	973
62	350
62	835
62	933
350	920
350	298
350	820
350	895
350	845
350	240
350	604
350	758
835	964
835	316
835	669
835	450
933	679
933	959
63	384
63	405
63	637
63	955
384	308
384	614
384	504
384	221
384	446
384	862
405	96
405	324
637	71
637	404
637	759
637	198
637	426
955	237
955	152
955	515
955	948
64	116
64	276
64	308
64	532
64	656
64	847
64	911
64	950
116	374
116	401
276	718
276	469
276	339
308	524
308	85
308	108
308	176
532	493
532	214
532	329
532	771
656	239
656	642
847	939
847	695
847	989
847	815
911	403
911	759
911	517
950	743
950	647
950	205
950	708
950	301
950	631
950	420
950	444
950	994
65	79
65	183
65	220
65	282
79	90
79	181
183	80
183	135
183	495
183	560
220	416
220	593
220	274
282	584
282	910
150	645
150	95
150	149
155	216
155	353
885	112
885	125
885	829
67	197
67	907
67	920
197	960
907	151
907	100
907	102
907	223
907	305
907	937
907	420
920	340
68	172
68	460
68	653
172	379
172	263
172	469
460	271
653	539
653	948
363	562
363	175
363	245
363	208
524	515
524	877
650	412
650	217
650	403
650	414
962	569
962	265
70	237
70	358
70	489
70	608
70	697
70	823
237	253
237	296
237	607
237	679
358	537
358	342
358	519
358	918
489	74
489	575
489	569
608	916
608	330
697	642
697	931
823	340
823	208
71	493
71	690
71	718
71	939
493	755
493	686
493	262
493	294
690	617
690	746
690	976
690	804
690	446
718	492
718	494
718	924
718	407
939	424
939	340
939	345
939	397
215	884
215	562
215	857
215	669
215	708
215	224
215	539
361	772
361	104
416	998
416	328
416	817
478	946
478	81
478	710
478	993
545	534
545	310
670	82
670	467
670	305
741	133
741	338
741	621
741	904
934	832
253	130
253	302
253	551
253	859
267	479
267	754
267	953
635	786
635	770
635	740
635	666
635	414
635	630
689	320
689	223
689	655
838	306
838	238
838	328
74	151
74	508
74	832
151	932
151	756
151	903
508	998
508	930
508	843
508	813
832	457
832	978
75	166
75	399
75	617
75	842
166	496
166	480
166	296
166	428
166	602
166	633
166	720
166	742
166	857
399	156
399	417
399	566
842	816
842	519
76	256
76	521
76	578
76	766
76	789
256	942
256	302
256	616
256	557
256	595
256	458
256	540
256	566
521	584
521	710
521	686
578	398
766	789
789	82
789	325
789	801
246	255
246	474
246	883
383	91
383	942
383	157
383	764
78	605
78	628
78	639
605	365
605	567
605	966
628	238
628	332
639	672
639	163
639	338
639	773
90	210
181	549
181	195
181	303
181	221
181	662
181	878
181	887
80	404
80	443
80	614
80	684
80	946
404	784
404	538
404	177
404	902
404	716
404	420
443	316
443	681
443	385
443	242
443	854
614	121
684	809
684	201
946	506
81	784
81	892
784	298
784	575
784	565
784	796
784	931
892	125
82	706
706	811
706	431
706	674
509	300
509	239
509	394
84	298
84	366
84	504
298	479
298	469
298	191
298	600
298	601
366	642
366	805
366	201
366	278
366	507
504	579
504	740
504	978
85	160
85	300
85	372
85	692
160	271
160	534
160	803
160	881
300	642
300	130
300	296
300	638
300	668
372	853
372	107
372	226
372	972
372	627
372	793
692	112
692	992
692	177
86	828
828	992
828	239
828	114
828	169
87	412
87	525
87	645
87	704
412	591
412	707
525	105
645	442
645	716
645	517
704	574
704	445
704	277
704	280
88	292
88	572
292	806
292	710
218	374
218	740
218	631
218	649
218	712
231	673
231	226
231	222
232	888
232	296
700	515
210	286
210	402
210	417
91	214
91	664
91	858
91	914
214	744
214	456
214	990
664	128
664	134
664	990
664	261
664	373
664	484
664	970
858	428
858	386
858	869
858	189
858	203
858	450
858	958
914	642
914	555
92	251
251	101
93	360
93	772
93	774
360	195
360	479
360	491
360	340
360	219
360	969
772	106
772	516
233	806
233	176
233	188
233	310
243	99
243	301
243	268
243	305
271	551
271	457
271	331
317	593
317	573
317	175
538	695
538	571
538	586
593	141
593	710
593	370
593	487
787	439
985	170
985	438
95	544
95	696
95	909
95	981
696	877
909	500
909	283
909	843
981	491
981	833
981	505
96	104
104	147
104	286
104	770
104	797
104	888
104	992
97	379
97	424
97	761
379	364
379	601
424	641
424	198
424	354
761	198
492	947
492	495
492	242
492	378
589	159
589	367
99	200
200	304
200	727
100	942
942	110
942	403
942	373
942	437
101	154
101	159
101	411
101	475
101	500
101	640
101	853
101	932
154	436
154	481
154	654
159	448
159	533
411	770
411	797
411	744
411	396
411	677
411	714
411	201
411	983
475	776
475	613
475	667
500	106
500	673
500	710
500	873
640	147
640	806
640	533
640	539
640	970
853	105
853	562
853	883
932	135
932	686
102	325
102	915
325	305
915	881
915	691
915	644
915	796
103	579
103	786
579	294
786	580
147	864
147	494
770	916
797	756
797	730
797	296
797	720
797	976
797	332
888	264
992	320
992	222
992	294
105	806
105	811
105	896
806	161
806	430
811	127
811	776
811	612
896	964
896	884
896	387
896	132
896	161
106	239
239	445
239	845
107	872
107	971
107	982
872	273
872	798
982	825
982	255
982	472
108	870
109	120
109	123
109	744
109	864
123	729
744	480
864	777
864	850
864	703
110	290
110	396
110	735
290	673
290	314
290	195
290	296
290	345
290	801
290	908
396	318
396	598
396	882
735	877
111	258
111	582
111	841
111	952
258	389
258	745
582	387
582	127
582	417
582	219
582	659
841	549
841	177
841	280
952	153
952	805
952	444
113	324
113	476
113	549
113	743
324	729
324	385
324	302
324	584
324	332
476	143
476	480
476	600
476	638
549	431
549	780
743	354
743	940
114	274
114	306
114	352
114	673
274	422
274	319
352	428
352	222
673	699
673	488
115	263
115	672
115	800
115	821
263	884
263	252
263	515
263	686
672	164
800	539
800	862
374	138
374	903
374	931
401	531
401	748
117	293
117	677
117	725
117	868
117	916
293	304
293	226
293	663
677	649
677	519
725	456
725	302
725	805
725	331
725	899
868	126
868	976
868	457
868	929
868	995
916	496
916	488
118	574
118	657
118	820
118	964
574	387
574	138
574	428
574	902
574	376
820	127
820	551
964	751
964	708
964	368
164	302
164	194
164	587
164	616
164	769
164	805
389	516
389	918
516	367
516	484
516	675
516	886
516	307
714	468
826	575
826	779
826	438
826	498
980	960
980	910
980	922
980	764
121	746
121	884
121	895
746	941
746	222
746	764
884	845
884	668
895	910
122	170
170	531
170	340
170	461
170	957
170	993
729	456
729	176
729	266
729	816
124	387
124	751
751	641
751	135
125	138
125	562
125	641
138	285
138	195
138	196
138	304
138	496
138	756
138	930
562	336
562	563
641	169
641	354
641	499
126	431
126	642
126	849
431	829
431	195
431	149
431	889
642	930
642	602
849	456
849	332
127	316
127	422
127	531
127	573
316	224
316	580
422	364
531	814
531	302
531	270
573	198
128	157
128	522
157	449
522	691
522	406
135	285
135	537
588	960
588	221
588	346
130	681
130	829
681	631
681	370
681	607
829	902
829	277
810	270
810	595
132	456
132	998
456	947
456	993
998	353
998	526
998	445
998	646
998	969
998	517
133	314
133	528
314	947
314	595
314	318
134	755
134	830
755	189
252	268
195	156
196	175
196	902
304	329
496	224
496	439
496	822
496	834
756	908
756	615
139	721
139	777
721	436
721	993
777	226
777	217
777	698
990	461
990	471
141	249
141	680
141	960
249	386
249	463
680	153
680	245
680	901
680	394
680	301
680	222
680	796
960	571
960	442
960	601
960	921
960	674
176	373
176	555
176	852
695	926
695	688
695	716
814	481
814	305
814	400
814	429
143	347
347	764
206	463
206	470
145	342
145	479
145	730
342	633
342	310
479	910
479	336
730	517
283	594
320	447
480	221
480	795
480	566
480	299
480	570
494	223
385	533
385	245
385	732
152	226
152	359
152	465
152	947
152	991
226	569
359	261
359	378
359	804
465	503
465	515
465	391
465	585
465	705
991	353
991	675
153	467
153	491
153	809
153	974
467	266
467	816
491	993
491	444
809	177
974	417
436	487
654	222
654	969
654	330
654	482
